NO_OF_COV_RECORDS,COV_EFFDATE,KATR6
1,2020-03-12,229
1,2020-03-19,229
1,2020-03-10,358
2,2020-03-11,358
1,2020-03-12,358
1,2020-03-18,358
1,2020-03-24,363
1,2020-03-03,373
1,2020-03-13,373
1,2020-03-17,373
1,2020-03-18,373
1,2020-03-25,602
1,2020-03-10,603
1,2020-03-18,603
1,2020-03-13,610
1,2020-03-24,610
1,2020-03-03,613
3,2020-03-05,613
1,2020-03-06,613
1,2020-03-10,613
3,2020-03-13,613
3,2020-03-16,613
1,2020-03-18,613
3,2020-03-19,613
1,2020-03-20,613
2,2020-03-24,613
1,2020-03-16,614
1,2020-03-05,615
2,2020-03-20,615
5,2020-03-02,616
8,2020-03-03,616
28,2020-03-04,616
11,2020-03-05,616
7,2020-03-06,616
5,2020-03-09,616
26,2020-03-10,616
14,2020-03-11,616
5,2020-03-12,616
6,2020-03-13,616
11,2020-03-16,616
4,2020-03-17,616
10,2020-03-18,616
4,2020-03-19,616
4,2020-03-20,616
9,2020-03-23,616
2,2020-03-24,616
6,2020-03-25,616
1,2020-03-26,616
1,2020-03-02,618
4,2020-03-03,618
7,2020-03-04,618
2,2020-03-05,618
1,2020-03-06,618
1,2020-03-09,618
2,2020-03-10,618
12,2020-03-11,618
1,2020-03-12,618
5,2020-03-13,618
2,2020-03-17,618
1,2020-03-18,618
2,2020-03-19,618
2,2020-03-20,618
4,2020-03-23,618
19,2020-03-24,618
14,2020-03-25,618
34,2020-03-26,618
1,2020-03-03,619
1,2020-03-25,619
15,2020-03-02,624
3,2020-03-03,624
4,2020-03-04,624
4,2020-03-05,624
3,2020-03-06,624
3,2020-03-10,624
1,2020-03-11,624
2,2020-03-13,624
2,2020-03-16,624
1,2020-03-17,624
1,2020-03-18,624
3,2020-03-19,624
2,2020-03-20,624
3,2020-03-23,624
3,2020-03-24,624
3,2020-03-25,624
1,2020-03-26,624
4,2020-03-20,626
1,2020-03-24,626
1,2020-03-02,629
1,2020-03-04,629
2,2020-03-26,629
31,2020-03-02,631
39,2020-03-03,631
5,2020-03-04,631
7,2020-03-05,631
3,2020-03-06,631
7,2020-03-09,631
12,2020-03-10,631
13,2020-03-11,631
11,2020-03-13,631
6,2020-03-16,631
18,2020-03-17,631
28,2020-03-18,631
17,2020-03-19,631
10,2020-03-20,631
11,2020-03-23,631
15,2020-03-24,631
8,2020-03-25,631
8,2020-03-26,631
2,2020-03-03,635
1,2020-03-02,637
1,2020-03-13,637
1,2020-03-24,637
8,2020-03-02,641
8,2020-03-03,641
9,2020-03-04,641
3,2020-03-05,641
12,2020-03-06,641
11,2020-03-09,641
20,2020-03-10,641
12,2020-03-11,641
7,2020-03-12,641
11,2020-03-13,641
10,2020-03-16,641
5,2020-03-17,641
58,2020-03-18,641
6,2020-03-19,641
6,2020-03-20,641
7,2020-03-23,641
11,2020-03-24,641
14,2020-03-25,641
14,2020-03-26,641
1,2020-03-02,642
1,2020-03-16,642
1,2020-03-18,642
2,2020-03-26,642
1,2020-03-26,643
1,2020-03-02,644
1,2020-03-04,644
1,2020-03-06,644
2,2020-03-10,644
